sentence,poss,pr_labels,label
stay alive and avoi would zombie,NN JJ CC NN MD VB,aa h,ad
come out with u tonight,VBN RP IN PRP VBP,qw aa,ad
do not ever speak to me like that again,VB RB RB VB TO PRP IN DT RB,ad h,ad
poison the water supply,NN DT NNS VBP,aa ba,ad
always play where i can see you,RB VB WRB NN MD VB PRP,h qy,ad
change the dirty diaper,NN DT NN NNS,ad aa,ad
always remember the person who ha been nice to you,RB VB DT NN WP VBZ VBN JJ TO PRP,sv ba,ad
do good at school,VB JJ IN NN,aa ad,ad
close the door please,RB DT NN NN,aap_am ba,ad
fold the blanket,VB DT NN,aap_am sd,ad
rai would the berber people,NN MD DT NN NNS,qy h,ad
make chocolate chip cooky for christmas,VB NN NN NNS IN NN,ba ad,ad
turn right on red,NN NN IN JJ,sd ba,ad
honor your father and your mother,VB PRP$ NN CC PRP$ NN,qw ba,ad
hand over the assignment,NN IN DT NN,aa sv,ad
meet me outsi woulde the venue,VB PRP PRP VBD DT NN,aa ba,ad
switch on the fan please,NN IN DT NN NN,ad aap_am,ad
write your personal manifesto,VB PRP$ JJ NN,ba h,ad
note it down,NN PRP RP,qw sv,ad
respect the elder,VB DT NNS,ba sd,ad
turn on the radio,NN IN DT NN,sv qw,ad
let the rack dry,VB DT NN NN,qw qy,ad
play the song test,VB DT NN NN,aa h,ad
please go on reading,NN VB IN NN,sd h,ad
let the water boil for at least fifteen minute,VB DT NN NN IN IN JJS JJ NNS,aap_am qw,ad
watch your step,VB PRP$ NN,qy aap_am,ad
do exercise daily,VBP DT NN,sd qy,ad
exercise daily,NN NN,aa ba,ad
redo the translation,VB DT NN,^h sd,ad
assist in the discovery,NN IN DT NN,aap_am aa,ad
flip the table,VB DT NN,aap_am aa,ad
consi woulder the lily,NN VBP DT NN,ad ^h,ad
invade france from the north,JJ NN IN DT NN,qw sd,ad
stop eating too much,VB VBG RB JJ,^h sv,ad
do not tease hi am,VB RB VB NN VBP,qw aa,ad
do not be late for dinner,VB RB VB RB IN NN,qy ba,ad
this is mandatory,DT VBZ JJ,h aap_am,ad
check your email,VB PRP$ NN,h aap_am,ad
boil the turkey in vinegar,NN DT NN IN NN,ba ad,ad
do not drink,VB RB VB,qy ad,ad
steep turn go slow,JJ NN VBP JJ,sv qw,ad
open firefox,JJ NN,qw ba,ad
shoot straight,NN VBD,ba ^h,ad
turn off the radio,VB RP DT NN,^h ba,ad
clean the bathroom,VB DT NNS,aap_am sv,ad
meet back here after shopping,NN RB RB IN VBG,qw aa,ad
drink is cool with honey,NN VBZ JJ IN NN,h ^h,ad
skip this song,NN DT NN,ba sd,ad
redo all the work,VB PDT DT NN,qw sd,ad
call me maybe,VB PRP RB,^h aa,ad
take a note,VB DT NN,sd sv,ad
keep hanky in pocket,VB NN IN NN,ad aap_am,ad
go back to mississippi,VB RB TO VB,ba ad,ad
tell her you di would not do it,VB PRP$ PRP VBP MD RB VB PRP,^h qw,ad
listen closely my friend,RBR RB PRP$ NNS,h ^h,ad
never speak to me like that again,RB NN TO PRP IN DT RB,sd qw,ad
help in the arrest,NN IN DT NN,sd ba,ad
drink a bourbon,VB DT NN,qw aa,ad
load your weapon,RB PRP$ NN,ad aap_am,ad
please close the door,NN VB DT NN,aap_am ba,ad
wake me up on the weekend,VB PRP RP IN DT NN,ad aa,ad
study hard for the math exam,VB JJ IN DT NN NN,ba sv,ad
keep your friend close but your enemy closer,VB PRP$ NNS RB CC PRP$ NNS RBR,aap_am ad,ad
launch google,NN NN,sv ba,ad
drive to the roundabout and then turn left,NN TO DT NN CC RB VB RP,h aa,ad
collect nice book,JJ JJ NNS,ba qy,ad
work hard play hard,NN JJ NN RB,h ^h,ad
apply the glue thinly and leave it for ten minute,VB DT NN RB CC VB PRP IN NN NNS,qy aap_am,ad
keep an eye on the ti ame,VB DT NN IN DT NN NN,^h ba,ad
leave the class,VB DT NN,ba sd,ad
switch off the light,VB RP DT NNS,aap_am sv,ad
pas the book please,NN DT NN NN,sv ad,ad
please grill the sandwich,NN VB DT NN,qw qy,ad
maintain silence,NN NN,h ba,ad
do not let the light get turned on,VB RB VB DT NNS VBP VBN IN,sv ba,ad
let the dog out for play,VB DT NN RP IN NN,qw aa,ad
reach for the sky,NN IN DT NN,^h qy,ad
stop the track,VB DT NN,h qw,ad
slap the naughty boy,VB DT NN NN,h ^h,ad
you need not give me a lift i will go by train,PRP VBP RB VB PRP DT NN NN MD VB IN NN,aa qw,ad
overhaul the passage,IN DT NNS,sd ^h,ad
do not left turn,VB RB VB NN,qw aa,ad
remember the sabbath day by keeping it holy,VB DT NN NN IN VBG PRP NN,qy aap_am,ad
do not think about the future,VBP RB VB IN DT NN,aap_am ba,ad
stop feeding the lion,VB VBG DT NNS,aap_am qw,ad
drink a port,VB DT NN,ad aa,ad
fill in the blank,NN IN DT NNS,sv ad,ad
do not turn,VB RB VB,ad qy,ad
write an email to austin saying you are the best,VB DT NN TO VB VBG PRP VBP DT JJS,h sv,ad
write an email to austin saying youre the best,VB DT NN TO VB VBG PRP DT JJS,^h ad,ad
crouch under the wall then sli woulde under,JJ IN DT NN RB VBD NNS IN,^h ba,ad
complete a u turn,VB DT JJ NN,aap_am ^h,ad
have a safe journey,VB DT JJ NN,aap_am sd,ad
iron the shirt,NN DT NN,qy ^h,ad
call me tomorrow,VB PRP NN,aap_am ^h,ad
listen before you speak,NN IN PRP VBP,aa ad,ad
do not come home late,VB RB VB NN RB,qw sd,ad
wear your gold necklace with that dress,IN PRP$ NN NN IN DT NN,qy ^h,ad
swing hard johnny,VBG JJ NN,qw aap_am,ad
find the document titled test,VB DT NN VBD NN,ba sd,ad
wake me up when suptember end,VB PRP RP WRB NN NNS,aap_am qw,ad
summarize the news for me,VB DT NN IN PRP,aa sv,ad
smile for the camera,NN IN DT NN,aap_am sv,ad
complete the photo shoot,VB DT NN NN,aa ^h,ad
launch safari,NN NN,qy ba,ad
check if the laundry is dry,NN IN DT NN VBZ JJ,qy qw,ad
fold your laundry,RB PRP$ NN,^h ba,ad
let it occur then arrest them,VB PRP VB RB VB PRP,sd h,ad
walk for the mini amum,NN IN DT NN NN,h qw,ad
clean the si wouldewalk,VB DT NN NN,^h sd,ad
call your parent on sunday,VB PRP$ NNS IN NN,aa ad,ad
discover the fall of the roman empire,VB DT NN IN DT NN NN,qw ^h,ad
go back to alabama,VB RB TO VB,qy ad,ad
may god bless you,MD VB NN PRP,sv ba,ad
cook the steak well done,VB DT NN RB VBN,ba qw,ad
turn on the kitchen light,NN IN DT NN NN,h sd,ad
talk to the hand,NN TO DT NN,sv ad,ad
stop feeding the dog from the table,VB VBG DT NN IN DT NN,h ba,ad
come around and see me some ti ame,VBN IN CC VB PRP DT NN NN,^h h,ad
save our soul,VB PRP$ NNS,ad ^h,ad
hit the ball,VB DT NN,qy ba,ad
use the big red nipple to move around,IN DT JJ JJ NN TO VB IN,aap_am aa,ad
complete all your work or else,JJ DT PRP$ NN CC RB,^h ba,ad
please leave,NN VB,^h qw,ad
fezzik tear his arm off,NN VB PRP$ NNS RP,aap_am qw,ad
extract the information you can,VB DT NN PRP MD,aap_am ^h,ad
get to bed on ti ame,VB TO VB IN NN NN,h sd,ad
skip to the next track,NN TO DT JJ NN,qy ad,ad
find the document called google,VB DT NN VBN NN,qw sd,ad
get vaccinated before the age of twelve month,NN VBN IN DT NN IN JJ NNS,sd aap_am,ad
stir toegether flour baking soda and baking powder,NN CC NN NN NN CC NN NN,^h ad,ad
talk to me about dan,NN TO PRP IN NN,aa qw,ad
write an email to john saying this is a test email,VB DT NN TO VB VBG DT VBZ DT NN NN,aa ba,ad
ask question if you have any,VB NN IN PRP VBP DT,ad sv,ad
eat something,NN NN,aa sd,ad
do your worst to me,VB PRP$ JJS TO PRP,^h qw,ad
drink lot of water,VB NNS IN NN,aa aap_am,ad
bring that to me,NN DT TO PRP,qy sv,ad
find the lost treasure,VB DT JJ NN,aa qy,ad
go back to south carolina go back to georgia,VB RB TO VB NN VB RB TO VB,sd ba,ad
give me a new tv,VB PRP DT JJ NN,ad ^h,ad
turn left at the intersection,NN VBD IN DT NN,sd qw,ad
do not honk,VB RB VB,ad qw,ad
show me email from austin,VB PRP NNS IN NN,aa qw,ad
do not make the naughty list,VBP RB VB DT JJ NN,h ad,ad
turn off the living room light,VB RP DT NN NN NNS,sv aap_am,ad
cross the pedestrian lane do not jay walk,NN DT JJ NN VBP RB VB NN,ba qy,ad
complete mowing the lawn,JJ VBG DT NN,qw aap_am,ad
crack the game,NN DT NN,qw ^h,ad
sit in a semicircle,NN IN DT NN,qw h,ad
put your hand into the bag,VB PRP$ NN IN DT NN,h aa,ad
break a leg,VB DT NN,sv qy,ad
tell me about the weather,VB PRP IN DT NN,sv qw,ad
do not eat all the cooky,VB RB VB PDT DT NNS,^h qy,ad
keep calm and carry on,VB NN CC NN IN,aap_am ad,ad
honk if you like my driving,NN IN PRP VBP PRP$ NN,aap_am ba,ad
stop yelling,NN NN,qy h,ad
become who you need to be,NN WP PRP VBP TO VB,aa ad,ad
please ti wouldy your room,VB JJ VB PRP$ NN,aa qw,ad
run for your life,VB IN PRP$ NN,aap_am ba,ad
go back to louisiana,VB RB TO VB,^h aa,ad
pour me a glass of bourbon,VB PRP DT NN IN NN,h sv,ad
play me a short clip,VB PRP DT JJ NN,^h h,ad
i amprove yourself or kiss yourself goodbye,NN VBP PRP CC VB PRP VB,aap_am sv,ad
be there at five,VB EX IN CD,^h ba,ad
roll the dice,VB DT NNS,h ^h,ad
go to bed early,VB TO VB JJ,aa sv,ad
close your eye when you run away,RB PRP$ NNS WRB PRP VBP RB,sv qw,ad
leave me here alone to collect my thing,VB PRP RB RB TO VB PRP$ NNS,aap_am qw,ad
eat your popcorn,VB PRP$ NN,ad aa,ad
lend me a dollar,VB PRP DT NN,qw sd,ad
please open the door would you?,VB VB DT NN MD VB,sd qy,ad
please open the door would you,VB VB DT NN MD PRP,sv ^h,ad
crack your iphone,VB PRP$ NN,qy ba,ad
do not trouble the child,VB RB NN DT NNS,h sv,ad
shut the front door,VB DT NN NN,sv aap_am,ad
complete your work on sunday,VB PRP$ NN IN NN,^h qw,ad
clear this room by tomorrow morning,JJ DT NN IN NN NN,aa aap_am,ad
turn the record over,VB DT NN IN,h qw,ad
pack enough food for our adventure,RB RB NN IN PRP$ NN,sd ba,ad
ask for more work when you are done,NN IN JJR NN WRB PRP VBP VBN,aap_am aa,ad
do what i tell you to do,VB WP VB VBP PRP TO VB,sd ^h,ad
tell me whats in your wallet,VB PRP NNS IN PRP$ NN,sv ad,ad
delete a much a you can,NN RB RB IN PRP MD,h sd,ad
give me a robert heinlein quot,VB PRP DT JJ NN NN,aa h,ad
find the remote,VB DT NN,ad qy,ad
do not feed the dog,VB RB VB DT NN,ad sd,ad
have a good day,VB DT JJ NN,ad aap_am,ad
shut up brain or i will stab you with a qtip,VBN RP NN CC NN MD VB PRP IN DT NN,sd h,ad
shut up brain or ill stab you with a qtip,VBN RP NN CC VB NN PRP IN DT NN,aa qy,ad
please join me at the after party,NN VB PRP IN DT IN NN,qw aa,ad
be kind to your neighbor,VB NN TO PRP$ NNS,aa qw,ad
plant enough tree for the summer,NN JJ NNS IN DT NN,ad aa,ad
come over here let me show you,NN IN RB VB PRP VB PRP,h ^h,ad
let is go out together,NN VBZ VB RP RB,h ad,ad
let go out together,NNS VBP RP RB,qw sv,ad
bring me my gun,VB PRP PRP$ NN,^h qw,ad
complete the model vali wouldation,VB DT NN NN NN,h ad,ad
move out of my way,NN IN IN PRP$ NN,sd aa,ad
leave the package at the door,VB DT NN IN DT NN,sd aa,ad
order a new phone,NN DT JJ NN,qw aap_am,ad
please join me for dinner tonight,NN VB PRP IN NN NN,qy aap_am,ad
use oil in the pan,NN NN IN DT NN,h qy,ad
stop beating the cat,VB VBG DT NN,qy aa,ad
choose wisely my friend,NN RB PRP$ NN,sd ad,ad
show me email from tom,VB PRP VB IN NN,qy ad,ad
stop cry over spilt milk,NN NN IN JJ NN,sd ba,ad
say my name again,VB PRP$ NN RB,ad ba,ad
do not stall,VB RB VB,h sv,ad
change the lightbulb,NN DT NN,qy ^h,ad
i need you to sit down now,NNS VBP PRP TO VB RP RB,aap_am ba,ad
please be quite in the library,NN VB RB IN DT NN,qy qw,ad
make sure to pack warm clothes,VB JJ TO VB JJ NNS,^h qy,ad
pas the salt,NN DT NN,sv ^h,ad
do not lose control,VB RB VB NN,aap_am ^h,ad
remove all the lock,VB PDT DT NNS,ad ^h,ad
become a better person,VB DT JJR NN,aa aap_am,ad
do not scare me like that,VB RB VB PRP IN DT,aap_am qw,ad
let hi am cool down then ask about the inci wouldent,VB PRP VBP JJ RB RB VB IN DT NN NN,aap_am h,ad
choose your battle,VB PRP$ NNS,ad sd,ad
tell u the lie,VB PRP DT NNS,ba qy,ad
give me the gun,VB PRP DT NN,aap_am qw,ad
tell the truth the whole truth and nothing but the truth,VB DT NN DT JJ NN CC NN CC DT NN,sv h,ad
wash your shirt,VB PRP$ NNS,h ba,ad
paint a big wi woulde smile,NN DT JJ NN NN NN,sd h,ad
do not forget to feed the goldfish,VBP RB VB TO VB DT NN,sv qw,ad
do not lose your way,VB RB VB PRP$ NN,qy sv,ad
do not forget to change your oil,VBP RB VB TO VB PRP$ NN,qy qw,ad
bake a cake,VB DT NN,qw ad,ad
come by after dark,VBN IN IN NN,^h ad,ad
please join u for breakfast,VB VB PRP IN NN,sv aap_am,ad
season the cast iron pan,NN DT NN NN NN,sd aa,ad
do not enter,VB RB VB,sv h,ad
drive slowly,NN NN,qw aap_am,ad
listen to your teacher,NNS TO PRP$ NN,qw ba,ad
visit u in the hospital after the baby is born,NN PRP IN DT NN IN DT NN VBZ VBN,^h aa,ad
delete all my notification,NN DT PRP$ NNS,aap_am qy,ad
change regularly,NN RB,^h ad,ad
turn on the light so it is not dark,NN IN DT NNS IN PRP VBZ RB JJ,^h aa,ad
find me an expert in postgresql,VB PRP DT NN IN NN,ba qw,ad
taste the feeling,NN DT NN,aap_am ba,ad
push me away i will push you away,NN PRP RP NN MD VB PRP RB,aa h,ad
push me away ill push you away,NN PRP RB VBP NN PRP RB,h ^h,ad
finish your jira task,VB PRP$ NN NNS,^h qw,ad
put that down now,NN IN RB RB,qy aa,ad
write a blog post on google search,VB DT NN NN IN NN NN,qy qw,ad
tell me a holi wouldy li americk,VB PRP DT JJ NN NN NN,qy ad,ad
have a good morning,VB DT JJ NN,h sv,ad
